name,conferenceName,language,type,year,title,description,link
Алексей Волков,Angular & React Frameworks Day,russian,,2015,Введение в React Native,,https://youtu.be/ciyzuckUejs
Александр Соловьев,Angular & React Frameworks Day,russian,,2015,Как modnaKasta трансформировалась,,https://youtu.be/WssdWSbAPKE
Mike MacCana,OdessaJS,english,,2018,Deploying your JS app in 2018,,https://youtu.be/8QJq4_k0oTQ
Eyal Eizenberg,OdessaJS,english,,2018,The Psychology of building your first open source,,https://youtu.be/n2hYH87nzSA
Александр Хохлов,OdessaJS,russian,,2018,Do not chase the hype train. Just steal ideas,,https://youtu.be/LVfmF1L6dGY
Аркадий Пилгук,OdessaJS,russian,,2018,Real-world application of computer vision and machine,,https://youtu.be/tBkHbUbB5sg
Андрей Кучеренко,OdessaJS,russian,,2018,Copy paste detector for 150+ languages on JavaScript,,https://youtu.be/3wNEY6x5bIs
Андрей Михайлюк,OdessaJS,russian,,2018,"Excuse me, I have to assemble Frontend",,https://youtu.be/lqzzn4Z3krY
Rowdy Rabouw,OdessaJS,english,,2018,Unleash your web skills on native,,https://youtu.be/UVnlSuw1jac
Gerard Sans,OdessaJS,english,,2018,Advanced State Management using ngrx v6,,https://youtu.be/J3p2eO-ziBQ
Eyal Eizenberg,OdessaJS,english,,2018,Redux-cornell,,https://youtu.be/LmhtTzY3nms
Денис Довгань,OdessaJS,ukranian,,2018,Automating GitHub workflow with probot,,https://youtu.be/b6S-TTFhSI0
Ксения Редунова,OdessaJS,russian,,2018,Estimates: is there a silver bullet?,,https://youtu.be/FQzFFmGMID8
Алексей Мигуцкий,OdessaJS,russian,,2018,Architecture evolution of Microsoft To-Do web app,,https://youtu.be/BcyGEIhBZSE
David Kopal,OdessaJS,english,,2018,Unleash the power of the higher-order components,,https://youtu.be/P-3Oxb0nA5A
Ivan Jovanovic,OdessaJS,english,,2018,Serverless - the way microservices should be,,https://youtu.be/aGbAUo7HC_0
Nik Graf,OdessaJS,english,,2018,Get started with Reason and ReasonReact,,https://youtu.be/BVAzYl-4vQ4
Олег Черный,OdessaJS,russian,,2018,Cloud Native Observability,,https://youtu.be/0VNcynPLgfo
Денис Радин,OdessaJS,russian,,2018,Making great event is the goal,,https://youtu.be/NSVfZ_Oujx8
Александра Шинкевич,OdessaJS,russian,,2018,Get prepared for your performance...,,https://youtu.be/nsaF4VFnCz0
Никита Дубко,OdessaJS,russian,,2018,Get prepared for your performance...,,https://youtu.be/nsaF4VFnCz0
Александр Труш,OdessaJS,russian,,2018,The existential crisis in a blockchain era,,https://youtu.be/cJPpyFfTFXI
Михаил Зачепило,OdessaJS,russian,,2018,WebAssembly powered Machine Learning,,https://youtu.be/59dozr-XC-A
Филипп Шурпик,OdessaJS,russian,,2018,OK Google. What's next?,,https://youtu.be/ABYnHK8h7VQ
Юрий Шерстюк,OdessaJS,russian,,2018,Algorithms in Front End: from V8 to VDOM,,https://youtu.be/sFZX00-1t9E
Тимофей Лавренюк,OdessaJS,russian,,2018,How to make web-applications more native and a user happier...,,https://youtu.be/wklnEN-zzMI
Сергей Бабич,OdessaJS,urkanian,,2018,How I decided to create a project using only Web Components without any framework,,https://youtu.be/SFZJeO0_k8I
